periodo,entrada,saida,acao,v entrada,v saida,lucro,atr,strat,currency
121,2021-01-29 04:00:00,2021-01-29 06:30:00,sell,330.376,325.7680564433335,4.607943556666489,4.787943556666495,2,MBTCUSD
122,2021-01-29 16:00:00,2021-01-29 16:30:00,sell,369.888,360.999742957321,8.888257042678982,9.068257042678988,2,MBTCUSD
122,2021-02-01 12:30:00,2021-02-01 15:30:00,sell,337.473,332.60286226355305,4.870137736446952,5.050137736446959,2,MBTCUSD
122,2021-02-01 22:00:00,2021-02-02 06:30:00,sell,336.863,342.1169975464429,-5.253997546442905,3.3826650309619324,3,MBTCUSD
123,2021-02-02 13:00:00,2021-02-02 14:00:00,sell,349.803,346.33921079359317,3.46378920640683,3.643789206406837,2,MBTCUSD
123,2021-02-03 08:00:00,2021-02-03 08:30:00,sell,360.572,357.61304366085153,2.958956339148464,3.138956339148471,2,MBTCUSD
123,2021-02-03 20:00:00,2021-02-03 21:30:00,sell,363.439,366.6581086178962,-3.219108617896169,2.026072411930794,3,MBTCUSD
124,2021-02-04 12:00:00,2021-02-04 14:30:00,sell,375.412,370.6249270355837,4.787072964416287,4.967072964416293,3,MBTCUSD
124,2021-02-05 00:00:00,2021-02-05 01:30:00,sell,371.273,367.1995490084648,4.073450991535191,4.2534509915351695,3,MBTCUSD
124,2021-02-05 19:30:00,2021-02-07 23:00:00,sell,376.409,381.5047269303929,-5.09572693039293,3.277151286928615,3,MBTCUSD
125,2021-02-09 09:30:00,2021-02-09 10:30:00,sell,464.736,457.655106952539,7.08089304746101,7.260893047461017,2,MBTCUSD
125,2021-02-09 23:00:00,2021-02-10 04:00:00,sell,465.433,459.4785390350021,5.954460964997929,6.134460964997936,2,MBTCUSD
126,2021-02-10 12:30:00,2021-02-10 14:30:00,sell,457.922,452.3955362537517,5.526463746248322,5.706463746248301,2,MBTCUSD
127,2021-02-12 14:30:00,2021-02-12 16:00:00,sell,466.375,474.4867501653195,-8.111750165319524,5.287833443546345,2,MBTCUSD
127,2021-02-12 19:00:00,2021-02-12 21:30:00,sell,473.63,481.5360237355643,-7.906023735564329,5.150682490376215,2,MBTCUSD
127,2021-02-15 03:30:00,2021-02-15 04:30:00,sell,471.762,465.1920018562063,6.569998143793753,6.74999814379376,2,MBTCUSD
127,2021-02-16 00:00:00,2021-02-16 00:30:00,sell,476.725,472.69586021366484,4.029139786335188,4.209139786335166,2,MBTCUSD
128,2021-02-16 15:30:00,2021-02-16 16:30:00,sell,489.906,484.14195053185773,5.764049468142302,5.944049468142309,2,MBTCUSD
128,2021-02-17 13:00:00,2021-02-17 15:00:00,sell,507.316,515.246912937677,-7.9309129376770855,5.167275291784719,2,MBTCUSD
128,2021-02-18 01:30:00,2021-02-18 07:00:00,sell,521.556,517.6105039074926,3.9454960925074296,4.125496092507436,3,MBTCUSD
129,2021-02-18 23:00:00,2021-02-19 01:30:00,sell,516.529,512.9436765700879,3.5853234299121333,3.76532342991214,2,MBTCUSD
129,2021-02-22 04:30:00,2021-02-22 09:30:00,sell,558.413,551.675077864775,6.737922135225027,6.917922135225034,2,MBTCUSD
130,2021-02-22 17:30:00,2021-02-22 20:00:00,sell,520.394,539.157636931538,-18.763636931538063,12.389091287692038,2,MBTCUSD
130,2021-02-23 00:00:00,2021-02-23 01:30:00,sell,533.79,524.1417916721634,9.64820832783652,9.828208327836526,2,MBTCUSD
131,2021-02-25 16:30:00,2021-02-25 17:00:00,sell,506.26,499.813903804787,6.446096195212966,6.626096195212972,2,MBTCUSD
