periodo,entrada,saida,acao,v entrada,v saida,lucro,atr,strat,currency
121,2021-01-29 04:00:00,2021-01-29 06:30:00,sell,33037.6,32576.805646904446,460.7943530955523,478.7943530955523,2,BTCUSD
122,2021-01-29 16:00:00,2021-01-29 16:30:00,sell,36988.8,36099.9742961663,888.825703833702,906.825703833702,2,BTCUSD
122,2021-02-01 12:30:00,2021-02-01 15:30:00,sell,33747.3,33260.28622637943,487.0137736205709,505.0137736205709,2,BTCUSD
122,2021-02-01 22:00:00,2021-02-02 06:30:00,sell,33686.3,34211.69975463544,-525.3997546354382,338.26650309029213,3,BTCUSD
123,2021-02-02 13:00:00,2021-02-02 14:00:00,sell,34980.3,34633.921079359956,346.3789206400456,364.3789206400456,2,BTCUSD
123,2021-02-03 08:00:00,2021-02-03 08:30:00,sell,36057.2,35761.30436608519,295.89563391480846,313.89563391480846,2,BTCUSD
123,2021-02-03 20:00:00,2021-02-03 21:30:00,sell,36343.9,36665.810861789614,-321.9108617896097,202.60724119307315,3,BTCUSD
124,2021-02-04 12:00:00,2021-02-04 14:30:00,sell,37541.2,37062.49270355837,478.7072964416297,496.7072964416297,3,BTCUSD
124,2021-02-05 00:00:00,2021-02-05 01:30:00,sell,37127.3,36719.95490084648,407.3450991535174,425.3450991535174,3,BTCUSD
124,2021-02-05 19:30:00,2021-02-07 23:00:00,sell,37640.9,38150.47269303929,-509.57269303929246,327.71512869286164,3,BTCUSD
125,2021-02-09 09:30:00,2021-02-09 10:30:00,sell,46473.6,45765.5106952539,708.0893047461024,726.0893047461024,2,BTCUSD
125,2021-02-09 23:00:00,2021-02-10 04:00:00,sell,46543.3,45947.85390350021,595.4460964997922,613.4460964997922,2,BTCUSD
127,2021-02-12 14:30:00,2021-02-12 16:00:00,sell,46637.5,47448.67501653195,-811.1750165319522,528.7833443546348,2,BTCUSD
127,2021-02-12 19:00:00,2021-02-12 21:30:00,sell,47363.0,48153.60237355643,-790.6023735564324,515.0682490376216,2,BTCUSD
127,2021-02-15 03:30:00,2021-02-15 04:30:00,sell,47176.2,46519.20018562062,656.9998143793757,674.9998143793757,2,BTCUSD
127,2021-02-16 00:00:00,2021-02-16 00:30:00,sell,47672.5,47269.586021366486,402.9139786335173,420.9139786335173,2,BTCUSD
128,2021-02-16 16:30:00,2021-02-16 22:30:00,sell,48184.1,49128.534714374524,-944.4347143745287,617.6231429163524,2,BTCUSD
128,2021-02-18 08:30:00,2021-02-18 11:30:00,sell,51710.6,51326.33744728585,384.2625527141499,402.2625527141499,2,BTCUSD
129,2021-02-18 23:00:00,2021-02-19 01:30:00,sell,51652.9,51294.36765700879,358.532342991212,376.532342991212,2,BTCUSD
129,2021-02-22 04:30:00,2021-02-22 09:30:00,sell,55841.3,55167.5077864775,673.792213522502,691.792213522502,2,BTCUSD
130,2021-02-22 17:30:00,2021-02-22 20:00:00,sell,52039.4,53915.76369315381,-1876.3636931538058,1238.9091287692038,2,BTCUSD
130,2021-02-23 00:00:00,2021-02-23 01:30:00,sell,53379.0,52414.179167216345,964.820832783654,982.820832783654,2,BTCUSD
131,2021-02-25 16:30:00,2021-02-25 17:00:00,sell,50626.0,49981.390380478704,644.609619521296,662.609619521296,2,BTCUSD
