periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
121,100.0,0.004491226001993346,1,1,0,10000,10044.912260019933,10044.912260019933,10000,4.625440976933515,70.1492537313433,9,5,7,4
122,66.66666666666666,0.0017807070145503217,3,2,1,10044.912260019933,10062.799305741893,10136.270286183573,10044.912260019933,4.746753246753247,68.57142857142857,9,5,7,4
123,66.66666666666666,0.001374464683300146,3,2,1,10062.799305741893,10076.630268002773,10151.902516187063,10062.799305741893,4.6884716732542815,68.11594202898551,5,9,11,4
124,66.66666666666666,0.0016653018069447353,3,2,1,10076.630268002773,10093.410898595992,10167.187264694581,10076.630268002773,2.85,68.75,26,10,5,5
125,100.0,0.009101328465903686,2,2,0,10093.410898595992,10185.274346525446,10185.274346525446,10093.410898595992,3.0626262626262624,69.44444444444444,8,6,54,2
126,100.0,0.0045194651707222795,1,1,0,10185.274346525446,10231.306339188819,10231.306339188819,10185.274346525446,2.2727272727272725,70.0,22,10,36,3
127,50.0,-0.005369905777094039,4,2,2,10231.306339188819,10176.36518817079,10231.306339188819,10085.29883561018,2.7039184952978057,68.96551724137932,22,11,23,4
128,66.66666666666666,0.0017815143849561716,3,2,1,10176.36518817079,10194.494529140084,10222.416790831472,10149.198101932716,2.7727272727272725,70.0,5,10,51,2
129,100.0,0.009009018327445141,2,2,0,10194.494529140084,10286.336917192146,10286.336917192146,10194.494529140084,2.9172176308539948,69.6969696969697,6,17,5,3
130,50.0,-0.002518982191253177,2,1,1,10286.336917192146,10260.425817684509,10286.336917192146,10213.63512884657,3.5879110251450674,68.08510638297872,8,5,27,3
131,100.0,0.004539895189879567,1,1,0,10260.425817684509,10307.00707550033,10307.00707550033,10260.425817684509,3.144019138755981,68.42105263157895,9,5,31,3
132,100.0,0.01361397737279524,3,3,0,10307.00707550033,10447.326436607433,10447.326436607433,10307.00707550033,3.2727272727272725,70.0,7,5,5,1
133,100.0,0.01817992948147836,4,4,0,10447.326436607433,10637.25809449494,10637.25809449494,10447.326436607433,3.3181818181818183,72.5,5,7,6,1
134,100.0,0.00907374175485206,2,2,0,10637.25809449494,10733.777827424097,10733.777827424097,10637.25809449494,3.5879110251450674,68.08510638297872,12,14,11,4
135,33.33333333333333,-0.009897788887089256,3,1,2,10733.777827424097,10627.537160527334,10733.777827424097,10627.537160527334,3.711595547309833,69.38775510204081,11,15,5,4
136,100.0,0.009076635026174295,2,2,0,10627.537160527334,10723.999436560545,10723.999436560545,10627.537160527334,3.4396694214876034,68.18181818181817,12,14,53,4
137,100.0,0.009099920364065699,2,2,0,10723.999436560545,10821.586977417532,10821.586977417532,10723.999436560545,3.4396694214876034,68.18181818181817,11,15,60,4
138,80.0,0.010811635263045549,5,4,1,10821.586977417532,10938.586028784694,10938.586028784694,10744.311788900186,3.9192967409948545,69.81132075471697,17,5,5,5
139,100.0,0.00910868723410158,2,2,0,10938.586028784694,11038.222187704207,11038.222187704207,10938.586028784694,3.665280464216634,72.3404255319149,17,5,5,4
140,100.0,0.004494156385191046,1,1,0,11038.222187704207,11087.829684430235,11087.829684430235,11038.222187704207,3.7727272727272725,70.0,12,13,5,5
141,25.0,-0.01699481264881133,4,1,3,11087.829684430235,10899.394096261414,11136.73701296125,10899.394096261414,3.79777183600713,68.62745098039215,12,13,5,5
142,100.0,0.00893471938317676,2,2,0,10899.394096261414,10996.777123958163,10996.777123958163,10899.394096261414,5.034848484848485,70.66666666666667,5,6,5,4
143,80.0,0.01051317302951526,5,4,1,10996.777123958163,11112.38814462935,11112.38814462935,10916.560537013853,5.84505928853755,68.47826086956522,5,6,5,5
144,100.0,0.01326501527309397,3,3,0,11112.38814462935,11259.794143088408,11259.794143088408,11112.38814462935,4.622314049586777,72.72727272727273,6,5,5,4
147,0.0,-0.007198155729255056,1,0,1,11259.794143088408,11178.744391367103,11259.794143088408,11178.744391367103,3.65,68.75,9,15,8,5
148,66.66666666666666,0.001771526591454005,3,2,1,11178.744391367103,11198.547834315477,11198.547834315477,11098.313638156118,3.65,68.75,9,15,6,5
149,100.0,0.004474358180745952,1,1,0,11198.547834315477,11248.654148430422,11248.654148430422,11198.547834315477,2.6084415584415583,85.71428571428571,17,25,51,5
152,75.0,0.012744427768488012,8,6,2,11248.654148430422,11392.011808717796,11423.696308185685,11248.654148430422,3.208741258741259,69.23076923076923,7,5,7,3
153,33.33333333333333,-0.009982117443381362,3,1,2,11392.011808717796,11278.295408926788,11392.011808717796,11278.295408926788,2.9967532467532467,68.57142857142857,5,14,5,2
154,100.0,0.004412833436401102,1,1,0,11278.295408926788,11328.064648012909,11328.064648012909,11278.295408926788,2.9967532467532467,68.57142857142857,5,14,6,2
155,50.0,-0.0026459915404019687,2,1,1,11328.064648012909,11298.09068478514,11328.064648012909,11247.276851109144,2.7039184952978057,68.96551724137932,5,6,21,3
156,50.0,-0.002727351878255142,2,1,1,11298.09068478514,11267.276815935295,11298.09068478514,11217.001082464703,2.7727272727272725,70.0,5,5,20,3
157,100.0,0.004525271110032768,1,1,0,11267.276815935295,11318.264298199188,11318.264298199188,11267.276815935295,2.85,68.75,5,5,21,3
158,100.0,0.004464502229531293,1,1,0,11318.264298199188,11368.794714392923,11368.794714392923,11318.264298199188,2.7727272727272725,70.0,5,5,22,3
159,66.66666666666666,0.00161075272235705,3,2,1,11368.794714392923,11387.10703142905,11468.605482351903,11368.794714392923,2.8403225806451613,70.96774193548387,5,5,22,3
160,0.0,-0.007096701838852287,1,0,1,11387.10703142905,11306.2961280199,11387.10703142905,11306.2961280199,3.0368983957219253,73.52941176470588,5,34,5,3
161,75.0,0.006638941766957939,4,3,1,11306.2961280199,11381.357969613806,11462.909642183004,11306.2961280199,3.0368983957219253,73.52941176470588,5,34,5,3
162,100.0,0.018097372175630167,4,4,0,11381.357969613806,11587.330640653981,11587.330640653981,11381.357969613806,3.1006493506493507,74.28571428571429,5,34,5,4
163,100.0,0.004490636016146236,1,1,0,11587.330640653981,11639.365124959897,11639.365124959897,11587.330640653981,3.2553613053613057,71.7948717948718,5,34,5,3
164,100.0,0.009013286620089196,2,2,0,11639.365124959897,11744.27405890703,11744.27405890703,11639.365124959897,3.3181818181818183,72.5,5,34,5,3
167,100.0,0.0044735013644560786,1,1,0,11744.27405890703,11796.812084934098,11796.812084934098,11744.27405890703,3.5648221343873523,69.56521739130434,5,30,5,3
