periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2
123,100.0,0.008810849332029648,2,2,0,10000,10088.108493320296,10088.108493320296,10000,2.8403225806451613,70.96774193548387,5,5,1
125,80.0,0.01103155892829211,5,4,1,10088.108493320296,10199.396056639363,10199.396056639363,10088.108493320296,2.85,68.75,5,6,2
126,50.0,-0.005330343460648008,4,2,2,10199.396056639363,10145.029772566297,10291.593598372141,10145.029772566297,2.414822134387352,69.56521739130434,14,6,1
127,66.66666666666666,0.0017907591694424426,3,2,1,10145.029772566297,10163.197077655786,10236.603175842369,10145.029772566297,2.559090909090909,72.0,14,6,1
129,100.0,0.009009018327445278,2,2,0,10163.197077655786,10254.757506393826,10254.757506393826,10163.197077655786,2.9967532467532467,68.57142857142857,14,51,3
130,100.0,0.00943932566631418,2,2,0,10254.757506393826,10351.555502125757,10351.555502125757,10254.757506393826,2.415151515151515,83.33333333333334,56,5,5
131,50.0,-0.005124802879242184,4,2,2,10351.555502125757,10298.505820683828,10351.555502125757,10251.586788745439,3.355411255411256,69.04761904761905,5,5,1
132,100.0,0.009099483179607489,2,2,0,10298.505820683828,10392.21690117423,10392.21690117423,10298.505820683828,3.5879110251450674,68.08510638297872,5,6,1
133,100.0,0.02276189847469052,5,5,0,10392.21690117423,10628.76348720572,10628.76348720572,10392.21690117423,3.711595547309833,69.38775510204081,5,5,1
134,62.5,0.0010372841928420456,8,5,3,10628.76348720572,10639.788535560456,10696.834224347496,10544.590566515893,3.48099173553719,70.45454545454545,5,5,1
135,100.0,0.004469037970521051,1,1,0,10639.788535560456,10687.33815452419,10687.33815452419,10639.788535560456,3.1276412776412776,70.27027027027027,5,5,1
136,100.0,0.009075177039718349,2,2,0,10687.33815452419,10784.327640359834,10784.327640359834,10687.33815452419,3.79777183600713,68.62745098039215,14,16,4
138,100.0,0.013556726178846812,3,3,0,10784.327640359834,10930.527817203161,10930.527817203161,10784.327640359834,3.79777183600713,68.62745098039215,14,10,4
139,50.0,-0.005469527966486043,4,2,2,10930.527817203161,10870.742989618515,10930.527817203161,10822.275404551941,3.65,68.75,14,7,4
140,100.0,0.013484402027732838,3,3,0,10870.742989618515,11017.32845843069,11017.32845843069,10870.742989618515,4.09401913875598,68.42105263157895,13,5,5
141,50.0,-0.0027043345782295242,2,1,1,11017.32845843069,10987.533916120843,11066.920711505614,10987.533916120843,4.006198347107438,69.0909090909091,13,7,5
142,100.0,0.013457194303663302,3,3,0,10987.533916120843,11135.395294948172,11135.395294948172,10987.533916120843,4.830409731113956,70.4225352112676,7,5,4
143,80.0,0.010730449171559008,5,4,1,11135.395294948172,11254.88308816583,11254.88308816583,11135.395294948172,5.603918495297806,68.96551724137932,5,10,4
144,66.66666666666666,0.0015211968078561737,3,2,1,11254.88308816583,11272.003980392343,11272.003980392343,11173.283091707657,5.307014590347924,69.1358024691358,6,51,4
147,100.0,0.00446539114793517,1,1,0,11272.003980392343,11322.337887185877,11322.337887185877,11272.003980392343,3.5879110251450674,68.08510638297872,19,9,5
148,100.0,0.009035317229653056,2,2,0,11322.337887185877,11424.63880177792,11424.63880177792,11322.337887185877,3.5025252525252526,68.88888888888889,19,7,5
149,100.0,0.004446028706787947,1,1,0,11424.63880177792,11475.433073855309,11475.433073855309,11424.63880177792,3.2916851441241683,68.29268292682927,19,11,5
152,85.71428571428571,0.0200755318726759,7,6,1,11475.433073855309,11705.80849628225,11705.80849628225,11475.433073855309,3.65,68.75,7,7,2
153,50.0,-0.00826976757536284,6,3,3,11705.80849628225,11609.004180736289,11757.966447098563,11557.287892666025,3.65,68.75,7,7,2
154,100.0,0.013374570239770877,3,3,0,11609.004180736289,11764.26962256534,11764.26962256534,11609.004180736289,3.65,68.75,7,7,2
156,66.66666666666666,0.001759164123229073,3,2,1,11764.26962256534,11784.96490362135,11816.998268989817,11732.286041691876,2.85,68.75,5,22,3
157,100.0,0.004525271110032796,1,1,0,11784.96490362135,11838.295064832459,11838.295064832459,11784.96490362135,2.9172176308539948,69.6969696969697,7,21,3
158,100.0,0.004464502229531429,1,1,0,11838.295064832459,11891.147159543254,11891.147159543254,11838.295064832459,2.85,68.75,8,20,3
159,66.66666666666666,0.0016054054971247074,3,2,1,11891.147159543254,11910.237272560304,11995.479809155262,11891.147159543254,2.9967532467532467,68.57142857142857,7,21,3
161,50.0,-0.002514901342014016,2,1,1,11910.237272560304,11880.284200859836,11910.237272560304,11826.025503885716,2.9172176308539948,69.6969696969697,5,32,4
162,85.71428571428571,0.020099425394533636,7,6,1,11880.284200859836,12119.071086820875,12119.071086820875,11880.284200859836,3.2916851441241683,68.29268292682927,5,7,5
